ZIP,ACTIVE,ROA,DEPDOM,DATEUPDT,ROE,STNAME,ASSET,OFFICES,NETINC,DEP,NAME,CBSA,CITY,OFFDOM,CERT,STALP,COUNTY,ID
55566,2,0.24,1234699,05/14/2017,2.1,Iowa,5549659,57,12246,4571903,Lang-Brown,"Iowa City, IA",Iowa City,57,14843,IA,Johnson,2fbe851b21227e8775677643c9eca02f0ac5493e
33120,3,1.39,28274,10/24/1995,12.62,Iowa,1866595,36,25307,1551021,"Molina, Brock and Porter",,Ida Grove,36,958,IA,Ida,cde51585f2fe2beb601c24a05d2eaf66e765ec55
18005,2,0.98,1755878,02/04/2020,8.09,Iowa,1519781,33,14115,1317207,"Perkins, Wright and Lloyd","Dubuque, IA",Dubuque,33,14382,IA,Dubuque,6914a1038a5b7dd9049d5a9cb62c8be4348bbafc
76709,3,0.89,9992908,05/08/1980,9.34,Iowa,5796998,27,47470,4692621,"Schmitt, Owen and Ellis","Des Moines-West Des Moines, IA",Des Moines,27,953,IA,Polk,9335809622570e8aeb98a74c24d3281e4191bf13
43167,4,1.04,9022867,07/25/2017,10.93,Iowa,1670163,25,16024,1449185,Porter PLC,"Des Moines-West Des Moines, IA",West Des Moines,25,14521,IA,Dallas,8c653d06f0cab24d66a9f0982ac3ae490201e1ea
93036,4,1.31,1627952,02/07/2003,13.73,Iowa,1495421,25,17291,1325902,"Good, Smith and Avery","Storm Lake, IA",Storm Lake,25,15555,IA,Buena Vista,33cdf91f9d836c93baf82c7d1e59b3fef54c8130
80679,4,1.09,2628288,05/28/1989,8.75,Iowa,3778765,20,38836,3194158,Johnson-Walter,"Iowa City, IA",Hills,20,14650,IA,Johnson,aebacc7cfaeab35c2e5ed55c886689ed1a974397
05459,2,1.25,7964750,11/25/1977,13.78,Iowa,2012120,20,23568,1684361,Webster Inc,"Spencer, IA",Spencer,20,32647,IA,Clay,1623e033965550a7b98d55f9880609cb516f9fbc
39742,2,0.9,8350230,07/14/1980,8.42,Iowa,1303810,18,10788,1093969,"Shaw, Johnson and Hill","Carroll, IA",Carroll,17,11771,IA,Carroll,03dfb035774bf706c5973c2fc0539e3fce4d8d16
12392,2,0.67,2910826,04/03/2015,6.04,Iowa,1425174,17,9524,1200784,"Garrison, Hudson and Walker","Waterloo-Cedar Falls, IA",Reinbeck,17,14207,IA,Grundy,0cadc842443779dd678bb38877a8860fdfb46633
64172,2,0.88,5442055,10/14/1997,7.69,Iowa,705190,16,5967,597230,Pope PLC,"Muscatine, IA",Muscatine,11,1552,IA,Muscatine,440f13f2ffe7800ae87431f50edb70aa51e49fde
42882,2,1.24,2002710,09/23/1988,14.21,Iowa,3183377,14,34069,2703837,"Bauer, Chandler and Kirby","Des Moines-West Des Moines, IA",West Des Moines,14,15614,IA,Polk,de8500b5fec0df05b8ff6e58e6839e5507910b73
